Almacén,Descripción del almacén,Clave de artículo,Estatus,Descripción del producto
3,MATERIA PRIMA,CI-IM-CN-08,Activo,CIERRE No 5 FIUSHA
3,MATERIA PRIMA,CI-IM-CN-06,Activo,CIERRE No 5 ROSA PASTEL
3,MATERIA PRIMA,CI-IM-CN-07,Activo,CIERRE No 5 VERDE MANZANA
3,MATERIA PRIMA,CI-IM-CN-09,Activo,CIERRE No 5AZUL CLARO
3,MATERIA PRIMA,MPV-A-000210-MT,Activo,CIERRE No. 5 AZUL MARINO
3,MATERIA PRIMA,MPV-A-000201-MT,Activo,CIERRE No. 5 BLANCO
3,MATERIA PRIMA,PL-A-00211,Activo,CIERRE No. 5 GRIS
3,MATERIA PRIMA,CI-IM-CN-12,Activo,CIERRE No. 5 GRIS OBSCURO
3,MATERIA PRIMA,CI-IM-CN-14,Activo,CIERRE No. 5 VERDE BANDERA
3,MATERIA PRIMA,CI-IM-CN-15,Activo,CIERRE No.5 MANDARINA
3,MATERIA PRIMA,CI-IM-CN-13,Activo,CIERRE No.5 ROJO
3,MATERIA PRIMA,CI-IM-CN-10,Activo,CIERRE NYLON No 5 GRIS MEDIO
3,MATERIA PRIMA,CI-IM-CN-02,Activo,CIERRE NYLON No. 5 Gris Plata
3,MATERIA PRIMA,CI-IM-CN-03,Activo,CIERRE NYLON No. 5 MENTA
3,MATERIA PRIMA,CI-IM-CN-01,Activo,CIERRE NYLON No. 5 NEGRO
3,MATERIA PRIMA,CI-IM-CN-04,Activo,CIERRE NYLON No. 5 VERDE LIMON
3,MATERIA PRIMA,CI-CB-CI-02,Activo,CIERRE OXFORD 36 No. 5
3,MATERIA PRIMA,CI-CB-CT-01,Activo,CIERRE TERMINADO No. 3 DE 20 CM BLANCO
3,MATERIA PRIMA,CI-CM-CT-02,Activo,CIERRE TIMON No. 5 ORO CON DESLIZADORES
3,MATERIA PRIMA,CI-CM-CT-01,Activo,CIERRE TIMON No. 5 PLATA CON DESLIZADORE
3,MATERIA PRIMA,CI-CM-CT-03,Activo,CIERRE TIMON ORO NEGRO No. 5
3,MATERIA PRIMA,CI-CM-CT-04,Activo,CIERRE TIMON PLATA NEGRO No. 5
3,MATERIA PRIMA,MP5-116,Activo,CIERRE TRANS. DE CARRO CON JALADERA
3,MATERIA PRIMA,CR-002-CH,Activo,CIERRE ZIP CHINO NEGRO
3,MATERIA PRIMA,MP9-CT-01,Activo,CINTA  JANEL 255 TRANSPARENTE 18x65
3,MATERIA PRIMA,CI-IM-CI-04,Activo,"CINTA 1"" POPOTILLO AMARILLO CANARIO"
3,MATERIA PRIMA,CIM-CI-VE-PZ,Activo,"CINTA 1"" VERDE BANDERA"
3,MATERIA PRIMA,CI-CI-PO-01,Activo,"CINTA 11/4"" BLANCO"
3,MATERIA PRIMA,CI-CI-PO-02,Activo,"CINTA 3/4"" BLANCO"
3,MATERIA PRIMA,CI-GN-DI-01,Activo,CINTA ADHESIVA DIUREX TUK200 24MMx65MTS
3,MATERIA PRIMA,GNS-TUK179,Activo,CINTA ADHESIVA TUK179 48MM
3,MATERIA PRIMA,31151503,Activo,"CINTA BLANCA 1"""
3,MATERIA PRIMA,MP9-CC,Activo,CINTA CANELA 48MMx150MTS
3,MATERIA PRIMA,AL-CON-02-PZ,Activo,CINTA CANELA JANEL 066 48MMX150MTS
3,MATERIA PRIMA,CI-GN-DI-02,Activo,CINTA CORTEFACIL TUK-200 12mm X 65mts
3,MATERIA PRIMA,29-EMP-CE-PZ,Activo,CINTA DE ENGOMADO
3,MATERIA PRIMA,MP5-139,Activo,"CINTA DOBLE CAPA 2""x50 MT DP389 AMARILLA"
3,MATERIA PRIMA,DB-CAR-1-2-PUL,Activo,CINTA DOBLE CAPA MEDIA PULGADA
3,MATERIA PRIMA,S-DO-DM789-25,Activo,"CINTA DOBLE CARA  25MMX50M 1 1/4"""
3,MATERIA PRIMA,S-DO-DM789-48,Activo,"CINTA DOBLE CARA 48MMX50M 2'"
3,MATERIA PRIMA,CI-SE-DC-01,Activo,CINTA DOBLE CARA DT-147 24 mm x 50 m
3,MATERIA PRIMA,CI-SE-DC-02,Activo,"CINTA DOBLE CARA MOD. DM-789 25MMX50M 1"""
3,MATERIA PRIMA,OD-CI-CI-01,Activo,CINTA DYMO M10697 PAPEL BN PZ
3,MATERIA PRIMA,CIN-001-GMP,Activo,CINTA GORILA
3,MATERIA PRIMA,CI-IM-CI-02,Activo,"CINTA P.P.P 1 1/2"" VERDE LIMON"
3,MATERIA PRIMA,FA-HI-CO-03-MTR,Activo,"CINTA P.P.P.  1"" NEGRA"
3,MATERIA PRIMA,CO-IM-CI-02-PZ,Activo,"CINTA P.P.P. 1 1/4"" NEGRA"
3,MATERIA PRIMA,CI-IM-CI-07,Activo,"CINTA P.P.P. 1"" AZUL PANAM"
3,MATERIA PRIMA,CI-IM-CI-08,Activo,"CINTA P.P.P. 1"" MANDARINA"
3,MATERIA PRIMA,CI-IM-CI-05,Activo,"CINTA P.P.P. 1"" ROJO"
3,MATERIA PRIMA,CI-IM-CI-06,Activo,"CINTA P.P.P. 1"" VERDE BANDERA"
3,MATERIA PRIMA,CI-IM-CI-01,Activo,"CINTA P.P.P. 1"" VERDE LIMON"
3,MATERIA PRIMA,CI-IM-CI-03,Activo,"CINTA P.P.P. 11/2"" AMARILLO CANARIO"
3,MATERIA PRIMA,CO-IM-CI-01-PZ,Activo,CINTA P.P.P. 11/4 BLANCA
3,MATERIA PRIMA,PR-CR-TR-MM2,Activo,CINTA RECTA  A 18MM VERDE
3,MATERIA PRIMA,PR-CI-F-MM3,Activo,CINTA RECTA 18MM FORRO C. A MARINO
3,MATERIA PRIMA,PR-CR-TR-MM4,Activo,CINTA RECTA 2.5 CM GRIS
3,MATERIA PRIMA,PR-CI-01-PZ,Activo,CINTA RECTA 8 CM BLANCO
3,MATERIA PRIMA,PR-CR--TR-MM3,Activo,CINTA RECTA 8CM BEIGE
3,MATERIA PRIMA,PR-CR-TR-MM,Activo,CINTA RECTA A 18 MM TRANS SAT
3,MATERIA PRIMA,PR-CR-TR-MM1,Activo,CINTA RECTA A 38MM TRANSP
3,MATERIA PRIMA,MP9-CT,Activo,CINTA TRANSPARENTE 48MMx150MTS
3,MATERIA PRIMA,CO-CD-DE-03,Activo,CLIPPER DESHEBRADOR GEN ANYSEWTC-805B
3,MATERIA PRIMA,COF-001,Activo,COFIA VENECIANA JERSEY AZUL MARINO
3,MATERIA PRIMA,MP8-CLA-PZ,Activo,COLOR LIQUIDO ARTIFICIAL
3,MATERIA PRIMA,CO-JC-MO-PZA,Activo,COLOR MORADO  10 ML
3,MATERIA PRIMA,CO-AL-CO-01,Activo,COLORANTE LIQUIDO AZUL CIELO
3,MATERIA PRIMA,CO-LC-CO-01,Activo,COLORANTE PARA JABON MORADO 30 ML
3,MATERIA PRIMA,CO-RM-RO-01-PZA,Activo,COLORCHEF LIQUIDO ROSA 250 ML
3,MATERIA PRIMA,CO-RM-RO-PZA,Activo,COLORCHEF LIQUIDO ROSA 60 ML
3,MATERIA PRIMA,MP5-117,Activo,CONECTOR PARA LLAVERO
3,MATERIA PRIMA,PM-CA-BO-02,Activo,CONECTORA P/CADENA DE BOLITA 2.5mm NIQUE
3,MATERIA PRIMA,MP5-120,Activo,CONTACTEL BLANCO 19MM x 25 MTS
3,MATERIA PRIMA,MP5-118,Activo,"CONTACTEL BLANCO 2""x25MTS CON ADHESIVO"
3,MATERIA PRIMA,MP5-119,Activo,"CONTACTEL BLANCO 2""x25MTS SIN ADHESIVO"
3,MATERIA PRIMA,IM-CO-NE-01,Activo,"CONTACTEL NEGRO 1 """
3,MATERIA PRIMA,CO-DL-02-PZ,Activo,CONTENEDOR O ENVASE 1KG ENV/INC
3,MATERIA PRIMA,OJ-PM-NI-02,Activo,CONTRA METALICA OJILLO 11-Z
3,MATERIA PRIMA,OJ-NE-NI-02,Activo,CONTRAS K-20 CON 1000 PZAS
3,MATERIA PRIMA,CO-FI-ALGODON,Activo,CORDON ALGODON.
3,MATERIA PRIMA,FA-HI-CO-02-PZ,Activo,CORDON CADENETA PARA CHINOS BLANCO 3 MM
3,MATERIA PRIMA,CO-FI-MA-003,Activo,CORDON DE ALGODON TIPO LAM AZUL MARINO
3,MATERIA PRIMA,FA-HI-CO-03-KG,Activo,CORDON MACRAME 26 AZUL CIELO
3,MATERIA PRIMA,MAD-ASA-02-AZULM,Activo,CORDON MACRAME AZUL MARINO
3,MATERIA PRIMA,MACRA-0013MM,Activo,CORDON MACRAME BLANCO
3,MATERIA PRIMA,MAD-ASA-01-NEGRO,Activo,CORDON MACRAME NEGRO
3,MATERIA PRIMA,MP5-128,Activo,CORDÓN TEJIDO 4MM GRIS PLATA
3,MATERIA PRIMA,FA-HI-CO-04-KG,Activo,CORDÓN TIPO LAM COLOR AMARILLO CANARIO
3,MATERIA PRIMA,FA-HI-CO-01-PZ,Activo,CORDON TIPO LAM COLOR GRIS PLATA
3,MATERIA PRIMA,CO-FA-LAM-02,Activo,CORDON TIPO LAM GRUESO 04 VERDE AGUA
3,MATERIA PRIMA,CO-FA-LAM-03,Activo,CORDON TIPO LAM GRUESO AZUL REY
3,MATERIA PRIMA,CO-FA-LAM-01,Activo,CORDON TIPO LAM GRUESO COLOR 14 NARANJA
3,MATERIA PRIMA,FA-HI-CO-05-KG,Activo,CORDON TIPO LAM GRUESO GRIS OXFORD
3,MATERIA PRIMA,FA-HI-CO-02-KG,Activo,CORDON TIPO LAM NEGRO 5 MM
3,MATERIA PRIMA,PC-BR-BR-02,Activo,"Corona Broche Pañalero L16 (NQ, Jiber)"
3,MATERIA PRIMA,MP5-104,Activo,CRISTAL CLEAR C-30 90*120 CM
3,MATERIA PRIMA,MP5-105,Activo,CRISTAL CLEAR C-40 90*120 CM
3,MATERIA PRIMA,MP1-0486506-P,Activo,CRISTAL FLEXIBLE C 10
3,MATERIA PRIMA,MP1-0515007-P,Activo,CRISTAL FLEXIBLE C 5.5
3,MATERIA PRIMA,MP1-0488502-P,Activo,CRISTAL FLEXIBLE CRISTAL C-12
3,MATERIA PRIMA,MP1-0490003-P,Activo,CRISTAL FLEXIBLE CRISTAL C-14
3,MATERIA PRIMA,MP1-0492009-P,Activo,CRISTAL FLEXIBLE CRISTAL C-16
3,MATERIA PRIMA,MP1-0493502-P,Activo,CRISTAL FLEXIBLE CRISTAL C-18
3,MATERIA PRIMA,MP1-0500009-P,Activo,CRISTAL FLEXIBLE CRISTAL C-2/5
3,MATERIA PRIMA,MP1-0503508-P,Activo,CRISTAL FLEXIBLE CRISTAL C-3/4
3,MATERIA PRIMA,MP1-0507004-P,Activo,CRISTAL FLEXIBLE CRISTAL C-4/5
3,MATERIA PRIMA,MP1-0515008-P,Activo,CRISTAL FLEXIBLE CRISTAL C-5/6
3,MATERIA PRIMA,MP1-0481002-P,Activo,CRISTAL FLEXIBLE CRISTAL C-8
3,MATERIA PRIMA,MP1-1311121-D,Activo,CRISTAL FLEXIBLE NATURAL C-6
3,MATERIA PRIMA,CR-SM-001,Activo,CRISTAL SEMIRRIGIDO TRANSPARENTE 2.5
3,MATERIA PRIMA,CRI-SM-001-MP,Activo,CRISTAL SEMIRRIGIDO TRANSPARENTE 4/5
3,MATERIA PRIMA,PL-CR-SM-02,Activo,CRISTAL SEMIRRIGIDO TRANSPARENTE 5.6
3,MATERIA PRIMA,CRI-SM-T-KGR,Activo,CRISTAL SEMIRRIGIDO TRANSPARENTE C 10
3,MATERIA PRIMA,PL-CR-SM-01-PZ,Activo,CRISTAL SEMIRRIGIDO TRANSPARENTE C 12
3,MATERIA PRIMA,PL-CR-SM-03-R,Activo,CRISTAL SEMIRRIGIDO TRANSPARENTE C 8
3,MATERIA PRIMA,UB-CU-GA-01,Activo,CUBETA 19 LTS CON TAPA DE SEGURIDAD
3,MATERIA PRIMA,CUT-001-MT,Activo,CUTTER 18 MM
3,MATERIA PRIMA,CU-TT-UR-01,Activo,CUTTER NAVAJA GDE METAL USO RUDO
