Almacén,Descripción del almacén,Clave de artículo,Estatus,Descripción del producto
3,MATERIA PRIMA,EM-FI-RA-01,Activo,RAFIA DE 1125 M BLANCO C 3.8 G/M
3,MATERIA PRIMA,AL-CON-01-PZ,Activo,RAFIA NATURAL DEL No. 4
3,MATERIA PRIMA,PM-RE-RE-01,Activo,REMACHE RAPIDO MILANO #36 NIQUEL
3,MATERIA PRIMA,PM-RE-RE-02,Activo,REMACHE RAPIDO MILANO #36 NIQUEL c/500pz
3,MATERIA PRIMA,MP6-RE3,Activo,RESISTOL 30-80
3,MATERIA PRIMA,MP6-RE5,Activo,RESISTOL 5000
3,MATERIA PRIMA,BO-SE-RO-01,Activo,ROJO BOLSA KG TINBOL006KG
3,MATERIA PRIMA,PO-SA-NA-01,Activo,ROLLO DE POLIETILENO BAJA DENSIDAD29 CM
3,MATERIA PRIMA,PO-SA-NA-06,Activo,ROLLO DE POLIETILENO DE 28CM C 115
3,MATERIA PRIMA,PO-SA-NA-05,Activo,ROLLO DE POLIETILENO IMPRESO VOTA
3,MATERIA PRIMA,RO-PO-NA-01,Activo,ROLLO DE POLIETILENO NATURAL
3,MATERIA PRIMA,EM-JD-FL-01,Activo,"ROLLO FLEJE 1/2"" P/MAQ"
3,MATERIA PRIMA,PO-SA-NA-04,Activo,ROLLO NATURAL SIN IMPRESION  70PBCO
3,MATERIA PRIMA,EMP-CA-PE-01,Activo,ROLLO PELICULA MSTRECH 18-80-1000
3,MATERIA PRIMA,PO-SA-NA-02,Activo,ROLLO POLIETILENO 40CM PIGMENTOS VERDES
3,MATERIA PRIMA,PO-SA-NA-03,Activo,ROLLO POLIETILENO BAJA DENSIDAD ESP 190
3,MATERIA PRIMA,MP10-POLI-KG,Activo,ROLLO POLIETILENO DE 28 CM C 115
3,MATERIA PRIMA,PO-SA-PI-01,Activo,ROLLO POLIETILENO PIGMENTADO VERDE AGUA
3,MATERIA PRIMA,RO-TL-MT-PZ,Activo,ROLLO TELA NON WOVEN IMPRESA Y LAMINADA
3,MATERIA PRIMA,TR-MU-RO-04-PZ,Activo,RONDANA DE PRESION GALV 1/4
3,MATERIA PRIMA,TR-MU-RO-03-PZ,Activo,RONDANA PLANA GALVANIZADA 1/4
3,MATERIA PRIMA,MP4-9002-S,Activo,SATINADO ANTIESTATICO SEDA C-4/5
3,MATERIA PRIMA,SAT-002,Activo,SATINADO LLUVIA  SEDA C-8 TRANSPARENTE
3,MATERIA PRIMA,MP4-3000-S,Activo,SATINADO LLUVIA C-3/4 AMARILLO
3,MATERIA PRIMA,MP4-3004-S,Activo,SATINADO LLUVIA C-3/4 NARANJA
3,MATERIA PRIMA,MP4-3003-S,Activo,SATINADO LLUVIA C-3/4 ROSA
3,MATERIA PRIMA,MP4-3001-S,Activo,SATINADO LLUVIA C-3/4 TRANSPARARENTE
3,MATERIA PRIMA,MP4-3002-S,Activo,SATINADO LLUVIA C-3/4 VERDE
3,MATERIA PRIMA,MP4-3005-S,Activo,SATINADO LLUVIA C-4 TRANSPARENTE
3,MATERIA PRIMA,MP4-3006-S,Activo,SATINADO LLUVIA C-6 AMARILLO
3,MATERIA PRIMA,MP4-3011-S,Activo,SATINADO LLUVIA C-6 AZUL
3,MATERIA PRIMA,MP4-3010-S,Activo,SATINADO LLUVIA C-6 NARANJA
3,MATERIA PRIMA,MP4-3009-S,Activo,SATINADO LLUVIA C-6 ROSA
3,MATERIA PRIMA,MP4-3007-S,Activo,SATINADO LLUVIA C-6 TRANSPARENTE
3,MATERIA PRIMA,MP4-3008-S,Activo,SATINADO LLUVIA C-6 VERDE
3,MATERIA PRIMA,SAT-001,Activo,SATINADO LLUVIA SEDA C-6 TRASPARENTE
3,MATERIA PRIMA,SU-SA-01,Activo,SATINADO SEDA C 5 TRANSPARENTE
3,MATERIA PRIMA,MP4-2006-S,Activo,SATINADO SEDA C-4 AMARILLO
3,MATERIA PRIMA,MP4-2000-S,Activo,SATINADO SEDA C-4 AZUL MARINO
3,MATERIA PRIMA,MP4-2005-S,Activo,SATINADO SEDA C-4 AZUL REY
3,MATERIA PRIMA,MP4-2002-S,Activo,SATINADO SEDA C-4 BLANCO
3,MATERIA PRIMA,MP4-2001-S,Activo,SATINADO SEDA C-4 NARANJA
3,MATERIA PRIMA,MP4-2004-S,Activo,SATINADO SEDA C-4 NEGRO
3,MATERIA PRIMA,MP4-2003-S,Activo,SATINADO SEDA C-4 PLATA
3,MATERIA PRIMA,MP4-2008-S,Activo,SATINADO SEDA C-4 ROJO
3,MATERIA PRIMA,MP4-2009-S,Activo,SATINADO SEDA C-4 TRANSPARENTE
3,MATERIA PRIMA,MP4-2007-S,Activo,SATINADO SEDA C-4 VERDE MILITAR
3,MATERIA PRIMA,MP4-2022-S,Activo,SATINADO SEDA C-6 AMARILLO
3,MATERIA PRIMA,MP4-2016-S,Activo,SATINADO SEDA C-6 AZUL CIELO
3,MATERIA PRIMA,MP4-2012-S,Activo,SATINADO SEDA C-6 AZUL MARINO
3,MATERIA PRIMA,MP4-2019-S,Activo,SATINADO SEDA C-6 AZUL REY
3,MATERIA PRIMA,MP4-2014-S,Activo,SATINADO SEDA C-6 BLANCO
3,MATERIA PRIMA,MP4-2020-S,Activo,SATINADO SEDA C-6 CAFÉ
3,MATERIA PRIMA,MP4-2024-S,Activo,SATINADO SEDA C-6 FIUSHA
3,MATERIA PRIMA,MP4-2015-S,Activo,SATINADO SEDA C-6 HUESO
3,MATERIA PRIMA,MP4-2013-S,Activo,SATINADO SEDA C-6 NARANJA
3,MATERIA PRIMA,MP4-2018-S,Activo,SATINADO SEDA C-6 NEGRO
3,MATERIA PRIMA,MP4-2017-S,Activo,SATINADO SEDA C-6 PLATA
3,MATERIA PRIMA,MP4-2025-S,Activo,SATINADO SEDA C-6 ROJO
3,MATERIA PRIMA,MP4-2011-S,Activo,SATINADO SEDA C-6 ROSA
3,MATERIA PRIMA,SA-SI-SE-01,Activo,SATINADO SEDA C-6 TRANSLUCIDO (001)
3,MATERIA PRIMA,MP4-2010-S,Activo,SATINADO SEDA C-6 VERDE
3,MATERIA PRIMA,MP4-2023-S,Activo,SATINADO SEDA C-6 VERDE MILITAR
3,MATERIA PRIMA,MP4-2021-S,Activo,SATINADO SEDA C-6 VINO
3,MATERIA PRIMA,MP4-2030-S,Activo,SATINADO SEDA C-8  NEGRO
3,MATERIA PRIMA,MP4-2033-S,Activo,SATINADO SEDA C-8 AMARILLO
3,MATERIA PRIMA,MP4-2027-S,Activo,SATINADO SEDA C-8 AZUL MARINO
3,MATERIA PRIMA,MP4-2031-S,Activo,SATINADO SEDA C-8 AZUL REY
3,MATERIA PRIMA,MP4-2026-S,Activo,SATINADO SEDA C-8 BLANCO
3,MATERIA PRIMA,MP4-2028-S,Activo,SATINADO SEDA C-8 HUESO
3,MATERIA PRIMA,MP4-2029-S,Activo,SATINADO SEDA C-8 PLATA
3,MATERIA PRIMA,MP4-2034-S,Activo,SATINADO SEDA C-8 VERDE MILITAR
3,MATERIA PRIMA,MP4-2032-S,Activo,SATINADO SEDA C-8 VINO
3,MATERIA PRIMA,SAT-SEDA,Activo,SATINADO SEDA CALIBRE 6
3,MATERIA PRIMA,SI-SA-SE-01,Activo,SATINADO SEDA TRANSPARENTE C 8
3,MATERIA PRIMA,MP4-9000-S,Activo,SEDA GEL C-12 TRANSPARENTE
3,MATERIA PRIMA,SE-SI-GE-2281,Activo,SEDA GEL SONORA C-10 COLOR HUMO CVE 2281
3,MATERIA PRIMA,MP4-7002-S,Activo,SELLOPLAST CHAROL C-8 AZUL CIELO
3,MATERIA PRIMA,MP4-7005-S,Activo,SELLOPLAST CHAROL C-8 AZUL REY
3,MATERIA PRIMA,MP4-7000-S,Activo,SELLOPLAST CHAROL C-8 BLANCO
3,MATERIA PRIMA,MP4-7001-S,Activo,SELLOPLAST CHAROL C-8 NEGRO
3,MATERIA PRIMA,MP4-7004-S,Activo,SELLOPLAST CHAROL C-8 ROJO
3,MATERIA PRIMA,MP4-7003-S,Activo,SELLOPLAST CHAROL C-8 VERDE
3,MATERIA PRIMA,MP4-6004-S,Activo,SELLOPLAST SONORA C-10 AMARILLO
3,MATERIA PRIMA,MP4-6003-S,Activo,SELLOPLAST SONORA C-10 AZUL REY
3,MATERIA PRIMA,MP4-6005-S,Activo,SELLOPLAST SONORA C-10 BEIGE
3,MATERIA PRIMA,MP4-6001-S,Activo,SELLOPLAST SONORA C-10 BLANCO
3,MATERIA PRIMA,MP4-6007-S,Activo,SELLOPLAST SONORA C-10 CAFÉ
3,MATERIA PRIMA,MP4-6008-S,Activo,SELLOPLAST SONORA C-10 NARANJA
3,MATERIA PRIMA,MP4-6002-S,Activo,SELLOPLAST SONORA C-10 NEGRO
3,MATERIA PRIMA,MP4-6000-S,Activo,SELLOPLAST SONORA C-10 ROJO
3,MATERIA PRIMA,MP4-6006-S,Activo,SELLOPLAST SONORA C-10 VERDE
3,MATERIA PRIMA,MP4-6009-S,Activo,SELLOPLAST SONORA C-10 VINO
3,MATERIA PRIMA,MP4-4001-S,Activo,SELLOPLAST SONORA C-6 BLANCO
3,MATERIA PRIMA,MP4-4002-S,Activo,SELLOPLAST SONORA C-6 NEGRO
3,MATERIA PRIMA,MP4-4000-S,Activo,SELLOPLAST SONORA C-6 TRANSPARENTE
3,MATERIA PRIMA,MP4-5006-S,Activo,SELLOPLAST SONORA C-8 AMARILLO
3,MATERIA PRIMA,MP4-5005-S,Activo,SELLOPLAST SONORA C-8 AZUL MARINO
3,MATERIA PRIMA,MP4-5004-S,Activo,SELLOPLAST SONORA C-8 AZUL REY
3,MATERIA PRIMA,MP4-5002-S,Activo,SELLOPLAST SONORA C-8 BLANCO
3,MATERIA PRIMA,MP4-5003-S,Activo,SELLOPLAST SONORA C-8 NEGRO
3,MATERIA PRIMA,MP4-5001-S,Activo,SELLOPLAST SONORA C-8 ROJO
3,MATERIA PRIMA,MP4-5000-S,Activo,SELLOPLAST SONORA C-8 TRANSPARTE
3,MATERIA PRIMA,MP4-5007-S,Activo,SELLOPLAST SONORA MORADO (852) C8
3,MATERIA PRIMA,MP2-0587006-P,Activo,SEMI-RÍGIDO TRANSPARENTE C-10
3,MATERIA PRIMA,MP2-0587501-P,Activo,SEMI-RÍGIDO TRANSPARENTE C-12 PLAMI
3,MATERIA PRIMA,MP2-0588004-P,Activo,SEMI-RÍGIDO TRANSPARENTE C-14
3,MATERIA PRIMA,MP2-0590505-P,Activo,SEMI-RÍGIDO TRANSPARENTE C-3/4
3,MATERIA PRIMA,MP2-0592006-P,Activo,SEMI-RÍGIDO TRANSPARENTE C-4/5
3,MATERIA PRIMA,MP2-0595009-P,Activo,SEMI-RÍGIDO TRANSPARENTE C-5/6
3,MATERIA PRIMA,MP2-0581009-P,Activo,SEMI-RÍGIDO TRANSPARENTE C-7
3,MATERIA PRIMA,SO-DG-SE-PZ,Activo,SENSIBLIZADOR PARA EMULSION CP-2 (3.5 GM
3,MATERIA PRIMA,MP7-SEP,Activo,SERISOL PLUS
3,MATERIA PRIMA,HI-SH-01-PZ,Activo,SHAMPOO PARA MANOS CON AROMA CEREZA
3,MATERIA PRIMA,SILIFENIX,Activo,SILIFENIX SILICON SPRAY 400 GR
3,MATERIA PRIMA,MP9-L-042,Activo,SLEEVES PACKING BOXES LARGE
3,MATERIA PRIMA,MP9-L-041,Activo,SLEEVES PACKING BOXES STANDARD
3,MATERIA PRIMA,SE-SM-SO-01,Activo,SOLV. DESMANCHADOR DE PLASTICO M-82
3,MATERIA PRIMA,MP7-PRE,Activo,SOLVENTE PREGASOL
3,MATERIA PRIMA,SE-GR-SO-01,Activo,SOLVENTE VINILICO 44-180
3,MATERIA PRIMA,MP3.-2733947-P,Activo,STELAR C-5 ALUMINIO METÁLICO
3,MATERIA PRIMA,MP3.-2733954-P,Activo,STELAR C-5 AMARILLO
3,MATERIA PRIMA,MP3.-2733970-P,Activo,STELAR C-5 AZUL CIELO
3,MATERIA PRIMA,MP3.-2733988-P,Activo,STELAR C-5 AZUL MARINO
3,MATERIA PRIMA,MP3.-2733996-P,Activo,STELAR C-5 AZUL REY
3,MATERIA PRIMA,MP3.-2734002-P,Activo,STELAR C-5 BLANCO
3,MATERIA PRIMA,MP3.-2734051-P,Activo,STELAR C-5 NEGRO
3,MATERIA PRIMA,MP3.-2734069-P,Activo,STELAR C-5 ROJO
3,MATERIA PRIMA,MP3.-2734077-P,Activo,STELAR C-5 ROSA
3,MATERIA PRIMA,TAR-001,Activo,TARIMA DE PLASTICO 1X1.20
3,MATERIA PRIMA,AL-SO-TA-01-PZ,Activo,TARIMA PARA EXPORTACION EXP1010 Abierta
3,MATERIA PRIMA,MP-HM-TA-PZ,Activo,TARJETAS PARA RISTRA IMPRESAS
3,MATERIA PRIMA,GE-GF-CA-PZ,Activo,TC CARBOMER 340 B 500 GMS E/I
3,MATERIA PRIMA,ASP-TJ-02-PZ,Activo,TEJIDO DE BUCLE CON RECUBRIMIENTO DE POL
3,MATERIA PRIMA,ASP-TJ-01-PZ,Activo,TEJIDO DE BUCLE CON RECUBRIMIENTO DE POL
3,MATERIA PRIMA,AL-SA-TE-01-PZ,Activo,TELA DE FIBRA SINTETICA IMP. POLYURETHAN
3,MATERIA PRIMA,MP6-TEF-03,Activo,"TELA FIBRIFLON DE 0.003"" S/A"
3,MATERIA PRIMA,MP6-TEF-05,Activo,"TELA FIBRIFLON DE 0.005"" S/A"
3,MATERIA PRIMA,POL-EL-TE-01-PZ,Activo,TELA POLAR LISO
3,MATERIA PRIMA,TELA POLI,Activo,TELA POLICANASTO
3,MATERIA PRIMA,TE-IM-PO-05,Activo,TELA POLY 600 AZUL MARINO
3,MATERIA PRIMA,TE-IM-PO-04,Activo,TELA POLY 600 GRIS PLATA (PERLA
3,MATERIA PRIMA,TE-IM-PO-02,Activo,TELA POLY 700 GRIS MEDIO RAYADO
3,MATERIA PRIMA,TE-IM-PO-08,Activo,TELA POLY 700 GRIS OBSCURO RALLADA
3,MATERIA PRIMA,TE-IM-PO-01,Activo,TELA POLY 700 RAYADO NEGRO
3,MATERIA PRIMA,TE-IM-SI-01,Activo,TELA SILVER ROJO
3,MATERIA PRIMA,MANT-PL-94,Activo,TELA TEFLON AESA (3MIL)
3,MATERIA PRIMA,SOLVENTES,Activo,THINER STANDAR
3,MATERIA PRIMA,CO-CD-TI-PZ,Activo,TIJERA MULTIUSO 8.5 SOLO
3,MATERIA PRIMA,MP7-1025,Activo,TINTA AMARILLO CLARO UNIPLAST 1/4 KG
3,MATERIA PRIMA,BE-UNI-TI-01-PZ,Activo,TINTA AZUL CIAN POLICROMIA
3,MATERIA PRIMA,TI-SE-BO-02,Activo,TINTA AZUL OSCURO BOLSA CUARTO
3,MATERIA PRIMA,TI-SE-BO-03,Activo,TINTA AZUL ULTRA BOLSA CUARTO
3,MATERIA PRIMA,SA-TI-PP-03,Activo,TINTA AZUL ULTRA PP NON WOVEN
3,MATERIA PRIMA,SA-TI-PP-01,Activo,TINTA BLANCO PP NON WOVEN SP
3,MATERIA PRIMA,BE-UNI-TI-01,Activo,TINTA MAGENTA SP UNIPLAST  PSQ43165 1
3,MATERIA PRIMA,SA-TI-PP-02,Activo,TINTA NEGRO PP NON WOVEN
3,MATERIA PRIMA,MP7-1024,Activo,TINTA NEGRO SP UNIPLAST 1/4 KG
3,MATERIA PRIMA,MP7-1026,Activo,TINTA OPACO PARA RETOCAR POSITIVOS
3,MATERIA PRIMA,SA-TI-PP-05,Activo,TINTA ORO VERDOSO PP NON WOVEN
3,MATERIA PRIMA,TIN-001-AZU,Activo,TINTA VINIL AZUL REFLEX
3,MATERIA PRIMA,BE-VI-TI-06-PZ,Activo,TINTA VINIL BRILLANTE  BASE TRANSPARENTE
3,MATERIA PRIMA,TI-BE-VI-01-PZ,Activo,TINTA VINIL BRILLANTE PLATA
3,MATERIA PRIMA,BE-VI-TI-13-PZ,Activo,TINTA VINIL MATE AMARILLO CROMO
3,MATERIA PRIMA,BE-VI-TI-10-PZ,Activo,TINTA VINIL MATE AMARILLO LIMON
3,MATERIA PRIMA,BE-TI-VI-01-PZ,Activo,TINTA VINIL MATE AMARILLO MEDIO
3,MATERIA PRIMA,AZU-COV-MT-001,Activo,TINTA VINIL MATE AZUL COBALTO
3,MATERIA PRIMA,BE-VI-TI-07,Activo,TINTA VINIL MATE AZUL PROCESS
3,MATERIA PRIMA,BE-VI-TI-09-PZ,Activo,TINTA VINIL MATE BERMELLON
3,MATERIA PRIMA,BE-TI-VI-02-PZ,Activo,TINTA VINIL MATE BLANCO
3,MATERIA PRIMA,MP7-1000,Activo,TINTA VINIL MATE BLANCO SP-700
3,MATERIA PRIMA,BE-VI-TI-07-PZ,Activo,TINTA VINIL MATE BUGAMBILIA
3,MATERIA PRIMA,BE-VI-TI-08,Activo,TINTA VINIL MATE CAFE
3,MATERIA PRIMA,BE-VI-TI-08-PZ,Activo,TINTA VINIL MATE MANDARINA
3,MATERIA PRIMA,BE-VI-TI-12-PZ,Activo,TINTA VINIL MATE NARANJA
3,MATERIA PRIMA,BE-VI-TI-15-PZ,Activo,TINTA VINIL MATE NARANJA FLUORESCENTE
3,MATERIA PRIMA,BE-VI-TI-04-PZ,Activo,TINTA VINIL MATE NEGRO
3,MATERIA PRIMA,BE-VI-TI-05-PZ,Activo,TINTA VINIL MATE ORO VERDOSO
3,MATERIA PRIMA,MP7-999,Activo,TINTA VINIL MATE PANTONE
3,MATERIA PRIMA,BE-VI-TI-11-PZ,Activo,TINTA VINIL MATE PLATA
3,MATERIA PRIMA,MP7-1002,Activo,TINTA VINIL MATE ROJO FUEGO SP-700
3,MATERIA PRIMA,BE-VI-TI-14-PZ,Activo,TINTA VINIL MATE ROJO SP
3,MATERIA PRIMA,BE-VI-TI-03-PZ,Activo,TINTA VINIL MATE VERDE BRILLANTE
3,MATERIA PRIMA,MPV-TS-0000256,Activo,TINTA VINIL UNIPLAST  BLANCO
3,MATERIA PRIMA,TR-MU-TR-01-PZ,Activo,TORNILLO HEX G2 NC GALV 1/4 X 2
3,MATERIA PRIMA,MA-TR-BL-01-PZ,Activo,TRAPO BLANCO ESPECIAL TIPO PRENDA
3,MATERIA PRIMA,MP8-TRI-KG,Activo,TRIETALONAMINA
3,MATERIA PRIMA,GE-CL-TR-TA,Activo,TRIETANOLAMINA 85% 230 KG TAMBOR
3,MATERIA PRIMA,OJ-PM-NI-03,Activo,TROQUEL OJILLO K-3 × 11-Z
3,MATERIA PRIMA,PM-RE-RE-03,Activo,TROQUEL REMACHE UNIVERSAL
3,MATERIA PRIMA,BE-UNI-BA-01,Activo,UNIPLAST BARNIZ REDUCTOR
3,MATERIA PRIMA,MP5-137,Activo,VALVULA CHICA TRANSPARENTE
3,MATERIA PRIMA,MP5-138,Activo,VALVULA GRANDE TRANSPARENTE
3,MATERIA PRIMA,PM-VA-01-PZ,Activo,VALVULA PARA INFLABLE 25mm
3,MATERIA PRIMA,IN-PE-MI-VA-01,Activo,VALVULA PARA INFLABLE 30 MM
3,MATERIA PRIMA,PQS15021 1,Activo,VERDE VRILLANTEMSP VINIL MANTE
3,MATERIA PRIMA,MP6-VI,Activo,VINIL BLANCO CON ADHESIVO
3,MATERIA PRIMA,MP6-VIM,Activo,VINIL MAGNETICO BCO. MATE C-15
3,MATERIA PRIMA,12171703,Activo,VINIL MATE ORO VERDOSO
3,MATERIA PRIMA,VI-IM-VI-02,Activo,VIVO BEIGE
3,MATERIA PRIMA,VI-IM-VI-01,Activo,VIVO NEGRO
